name,allergens,preferences
Shrimp Scampi,low-carb,high-protein,shellfish
Lentil and Vegetable Stew,low-fat,vegetarian,shellfish,nuts
Cucumber and Tomato Salad,low-carb,vegetarian,dairy,nuts
Tomato Basil Mozzarella Sandwich,low-carb,vegetarian,gluten,dairy,nuts
Vegetable Pad Thai,low-fat,vegetarian,shellfish
Sweet Potato and Chickpea Curry,low-fat,vegetarian,meat,nuts
Hawaiian Chicken Skewers,low-carb,high-protein,dairy,nuts
Balsamic Glazed Brussels Sprouts,low-carb,vegetarian,shellfish,nuts
Peach and Pecan Quinoa Salad,low-carb,vegetarian,dairy,nuts
Basil Pesto Pasta with Cherry Tomatoes,low-carb,vegetarian,dairy,nuts
Egg Fried Rice,low-carb,high-protein,meat,vegetarian
Tomato Basil Bruschetta,low-carb,vegetarian,gluten,nuts
Lemon Herb Baked Chicken Thighs,low-carb,high-protein,dairy,nuts
Vegetable and Lentil Soup,low-fat,vegetarian,meat,nuts
Sesame Ginger Tofu Stir-Fry,low-fat,vegetarian,shellfish,nuts
Pineapple Fried Rice,low-fat,vegetarian,dairy
Harvest Butternut Squash Soup,low-fat,vegetarian,dairy,nuts
Brussels Sprouts and Bacon Roast,low-carb,vegetarian,dairy,nuts
Mediterranean Quinoa Salad,low-fat,vegetarian,dairy,nuts
Lentil and Mushroom Meatballs,low-fat,vegetarian,meat,nuts
Grilled Veggie Wrap,low-fat,vegetarian,dairy,nuts
Spicy Thai Noodles,low-fat,vegetarian,shellfish,nuts
Grilled Teriyaki Tofu Skewers,low-fat,vegetarian,shellfish,nuts
Mexican Quinoa Stuffed Peppers,low-fat,vegetarian,dairy,nuts
Vegetable and Chickpea Curry,low-fat,vegetarian,meat,nuts
Roasted Red Pepper and Goat Cheese Pizza,low-carb,vegetarian,gluten,dairy,nuts
Mushroom and Spinach Quesadilla,low-carb,vegetarian,dairy,nuts
Moroccan Chickpea Tagine,low-fat,vegetarian,meat,nuts
Chicken and Spinach Alfredo,low-carb,high-protein,dairy,nuts,shellfish
Pumpkin and Sage Risotto,low-fat,vegetarian,dairy,nuts
Caprese Quinoa Bowl,low-carb,vegetarian,dairy,nuts
Quinoa and Black Bean Burrito Bowl,low-fat,vegetarian,dairy,nuts
Crispy Tofu and Broccoli Stir-Fry,low-fat,vegetarian,shellfish,nuts
Spaghetti Squash with Marinara,low-carb,vegetarian,gluten,dairy,nuts
Stuffed Acorn Squash,low-fat,vegetarian,shellfish,nuts
Sweet Chili Glazed Tofu,low-fat,vegetarian,shellfish,nuts
Pesto Zucchini Noodles,low-carb,vegetarian,dairy,nuts
Grilled Chicken Salad,low-carb,high-protein,dairy,nuts
Vegetarian Stir-Fry,vegetarian,low-fat,meat,shellfish
Salmon with Quinoa,high-protein,gluten-free,dairy,gluten
Pasta Primavera,vegetarian,gluten,nuts
Chicken and Rice Soup,low-fat,dairy,gluten
Beef Tacos,low-carb,shellfish
Spinach and Feta Omelette,vegetarian,low-carb,high-protein,dairy
Vegetable Curry,vegetarian,meat,nuts
Turkey and Avocado Wrap,low-fat,high-protein,dairy,nuts
Caprese Salad,vegetarian,low-carb,dairy,nuts
Quinoa Bowl,vegetarian,high-protein,gluten,nuts
Chicken Caesar Wrap,low-carb,high-protein,dairy
Mushroom Risotto,vegetarian,dairy,gluten,nuts
Grilled Salmon with Asparagus,low-carb,high-protein,dairy,nuts
Vegetable Stir-Fried Rice,vegetarian,low-fat,shellfish
Chicken and Broccoli Casserole,low-carb,high-protein,dairy
Greek Yogurt Parfait,low-fat,high-protein,dairy,nuts
Eggplant Lasagna,vegetarian,low-carb,dairy,nuts
Teriyaki Chicken Bowl,low-fat,high-protein,dairy,shellfish
Chicken Pesto Pasta,low-carb,high-protein,dairy,nuts
Spicy Black Bean Burritos,vegetarian,low-fat,dairy,nuts
Honey Mustard Glazed Salmon,low-carb,high-protein,dairy,nuts
Cauliflower Fried Rice,vegetarian,low-carb,shellfish
Cobb Salad,low-carb,high-protein,dairy,nuts
Chicken and Waffles,low-carb,dairy,nuts
Beef and Broccoli Stir-Fry,low-carb,high-protein,dairy,nuts
Tuna Salad Wrap,low-carb,high-protein,dairy,nuts
Mango Salsa Chicken,low-carb,high-protein,dairy,nuts
Cauliflower Pizza,vegetarian,low-carb,gluten,dairy,nuts
Chickpea and Spinach Curry,vegetarian,low-fat,meat,nuts
Avocado and Black Bean Salad,vegetarian,low-fat,shellfish
Turkey Burger with Sweet Potato Fries,low-carb,high-protein,dairy,nuts
Crispy Baked Cod,low-fat,high-protein,shellfish
Chicken Fajita Bowl,low-carb,high-protein,shellfish
Mango Coconut Chicken Skewers,low-carb,high-protein,dairy,nuts
Shrimp and Avocado Salad,low-carb,high-protein,shellfish,nuts
Lemon Herb Grilled Tilapia,low-carb,high-protein,shellfish
Italian Stuffed Bell Peppers,low-carb,high-protein,meat,nuts
Sweet and Sour Tofu,vegetarian,low-fat,shellfish,nuts
Greek Chicken Souvlaki Wrap,low-carb,high-protein,dairy,nuts
Grilled Portobello Mushrooms,vegetarian,low-carb,dairy,nuts
Orange Glazed Chicken,low-carb,high-protein,dairy,nuts
Baked Egg Breakfast Casserole,low-carb,high-protein,dairy,nuts
Blackened Tilapia Tacos,low-carb,high-protein,dairy
Roasted Vegetable Quiche,vegetarian,low-carb,meat,nuts
Lemon Dill Grilled Chicken,low-carb,high-protein,dairy,nuts
Butternut Squash and Sage Risotto,vegetarian,low-fat,dairy,nuts
Turkey and Cranberry Wrap,low-fat,high-protein,dairy,nuts
Pesto Shrimp and Pasta,low-carb,high-protein,shellfish,nuts
Stuffed Chicken Breast with Spinach and Feta,low-carb,high-protein,dairy,nuts
Hawaiian Poke Bowl,low-carb,high-protein,shellfish,nuts
Tomato Basil Chicken Pasta,low-carb,high-protein,dairy,nuts
Crispy Baked Chicken Thighs,low-carb,high-protein,dairy,nuts
Caesar Salad with Grilled Shrimp,low-carb,high-protein,dairy,nuts
Sesame Crusted Ahi Tuna,low-carb,high-protein,shellfish,nuts
Buffalo Chicken Lettuce Wraps,low-carb,high-protein,dairy,nuts
Mango Avocado Salsa Chicken,low-carb,high-protein,dairy,nuts
Lemon Garlic Herb Grilled Shrimp,low-carb,high-protein,shellfish,nuts
Cajun Blackened Catfish,low-carb,high-protein,dairy,nuts
Thai Coconut Chicken Soup,low-carb,high-protein,dairy,nuts
Bruschetta Chicken Bake,low-carb,high-protein,dairy,nuts
Lemon Herb Baked Cod,low-carb,high-protein,shellfish,nuts
Turkey and Veggie Stir-Fry,low-carb,high-protein,shellfish,nuts
Mango Tango Chicken Wrap,low-carb,high-protein,dairy,nuts

